Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
VS,Chrome 114.0.0.0,,,2023-06-23 15:42:32,2023-06-23 15:43:01,28.503s,PASSED
,,,,,,,
Test Cases/New Test Case,Chrome 114.0.0.0,,,2023-06-23 15:42:33,2023-06-23 15:43:01,28.088s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-23 15:42:33,2023-06-23 15:42:43,10.288s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 114.0.0.0,,,2023-06-23 15:42:43,2023-06-23 15:42:47,3.458s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 114.0.0.0,,,2023-06-23 15:42:47,2023-06-23 15:42:48,1.391s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 114.0.0.0,,,2023-06-23 15:42:48,2023-06-23 15:42:49,0.572s,PASSED
"setText(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 114.0.0.0,,,2023-06-23 15:42:49,2023-06-23 15:42:50,1.000s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/input_Demo account_form-control_1""))",Chrome 114.0.0.0,,,2023-06-23 15:42:50,2023-06-23 15:42:50,0.435s,PASSED
"setEncryptedText(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 114.0.0.0,,,2023-06-23 15:42:50,2023-06-23 15:42:51,0.440s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/button_Login""))",Chrome 114.0.0.0,,,2023-06-23 15:42:51,2023-06-23 15:42:52,1.139s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 114.0.0.0,,,2023-06-23 15:42:52,2023-06-23 15:42:53,1.174s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 114.0.0.0,,,2023-06-23 15:42:53,2023-06-23 15:42:53,0.316s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 114.0.0.0,,,2023-06-23 15:42:53,2023-06-23 15:42:53,0.337s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 114.0.0.0,,,2023-06-23 15:42:53,2023-06-23 15:42:54,0.686s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 114.0.0.0,,,2023-06-23 15:42:54,2023-06-23 15:42:55,0.814s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/td_14""))",Chrome 114.0.0.0,,,2023-06-23 15:42:55,2023-06-23 15:42:56,0.589s,PASSED
"setText(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Appointment "")",Chrome 114.0.0.0,,,2023-06-23 15:42:56,2023-06-23 15:42:56,0.806s,PASSED
"click(findTestObject(""Object Repository/New Folder/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 114.0.0.0,,,2023-06-23 15:42:56,2023-06-23 15:42:57,0.808s,PASSED
"takeFullPageScreenshotAsCheckpoint(""VS "")",Chrome 114.0.0.0,,,2023-06-23 15:42:57,2023-06-23 15:43:00,3.274s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-06-23 15:43:00,2023-06-23 15:43:01,0.164s,PASSED
